0	35	35	0	0	230	0
1	41	49	10	161	171	10
2	35	17	7	50	60	10
3	55	45	13	116	126	10
4	55	20	19	149	159	10
5	15	30	26	34	44	10
6	25	30	3	99	109	10
7	20	50	5	81	91	10
8	10	43	9	95	105	10
9	55	60	16	97	107	10
10	30	60	16	124	134	10
11	20	65	12	67	77	10
12	50	35	19	63	73	10
13	30	25	23	159	169	10
14	15	10	20	32	42	10
15	30	5	8	61	71	10
16	10	20	19	75	85	10
17	5	30	2	157	167	10
18	20	40	12	87	97	10
19	15	60	17	76	86	10
20	45	65	9	126	136	10
21	45	20	11	62	72	10
22	45	10	18	97	107	10
23	55	5	29	68	78	10
24	65	35	3	153	163	10
25	65	20	6	172	182	10
26	45	30	17	132	142	10
27	35	40	16	37	47	10
28	41	37	16	39	49	10
29	64	42	9	63	73	10
30	40	60	21	71	81	10
31	31	52	27	50	60	10
32	35	69	23	141	151	10
33	53	52	11	37	47	10
34	65	55	14	117	127	10
35	63	65	8	143	153	10
36	2	60	5	41	51	10
37	20	20	8	134	144	10
38	5	5	16	83	93	10
39	60	12	31	44	54	10
40	40	25	9	85	95	10
41	42	7	5	97	107	10
42	24	12	5	31	41	10
43	23	3	7	132	142	10
44	11	14	18	69	79	10
45	6	38	16	32	42	10
46	2	48	1	117	127	10
47	8	56	27	51	61	10
48	13	52	36	165	175	10
49	6	68	30	108	118	10
50	47	47	13	124	134	10
51	49	58	10	88	98	10
52	27	43	9	52	62	10
53	37	31	14	95	105	10
54	57	29	18	140	150	10
55	63	23	2	136	146	10
56	53	12	6	130	140	10
57	32	12	7	101	111	10
58	36	26	18	200	210	10
59	21	24	28	18	28	10
60	17	34	3	162	172	10
61	12	24	13	76	86	10
62	24	58	19	58	68	10
63	27	69	10	34	44	10
64	15	77	9	73	83	10
65	62	77	20	51	61	10
66	49	73	25	127	137	10
67	67	5	25	83	93	10
68	56	39	36	142	152	10
69	37	47	6	50	60	10
70	37	56	5	182	192	10
71	57	68	15	77	87	10
72	47	16	25	35	45	10
73	44	17	9	78	88	10
74	46	13	8	149	159	10
75	49	11	18	69	79	10
76	49	42	13	73	83	10
77	53	43	14	179	189	10
78	61	52	3	96	106	10
79	57	48	23	92	102	10
80	56	37	6	182	192	10
81	55	54	26	94	104	10
82	15	47	16	55	65	10
83	14	37	11	44	54	10
84	11	31	7	101	111	10
85	16	22	41	91	101	10
86	4	18	35	94	104	10
87	28	18	26	93	103	10
88	26	52	9	74	84	10
89	26	35	15	176	186	10
90	31	67	3	95	105	10
91	15	19	1	160	170	10
92	22	22	2	18	28	10
93	18	24	22	188	198	10
94	26	27	27	100	110	10
95	25	24	20	39	49	10
96	22	27	11	135	145	10
97	25	21	12	133	143	10
98	19	21	10	58	68	10
99	20	26	9	83	93	10
100	18	18	17	185	195	10
101	99	9	0	0	230	10
102	50	31	10	161	171	10
103	3	49	7	50	60	10
104	56	17	13	116	126	10
105	66	66	19	149	159	10
106	71	76	26	34	44	10
107	81	52	3	99	109	10
108	48	0	5	81	91	10
109	82	54	9	95	105	10
110	53	52	16	97	107	10
111	32	96	16	124	134	10
112	87	11	12	67	77	10
113	52	9	19	63	73	10
114	50	28	23	159	169	10
115	15	76	20	32	42	10
116	71	32	8	61	71	10
117	49	76	19	75	85	10
118	72	93	2	157	167	10
119	35	32	12	87	97	10
120	34	82	17	76	86	10
121	65	73	9	126	136	10
122	90	37	11	62	72	10
123	39	10	18	97	107	10
124	2	53	29	68	78	10
125	99	7	3	153	163	10
126	83	67	6	172	182	10
127	71	50	17	132	142	10
128	15	42	16	37	47	10
129	36	39	16	39	49	10
130	82	8	9	63	73	10
131	29	2	21	71	81	10
132	11	54	27	50	60	10
133	30	41	23	141	151	10
134	80	65	11	37	47	10
135	21	100	14	117	127	10
136	25	82	8	143	153	10
137	6	69	5	41	51	10
138	11	57	8	134	144	10
139	50	73	16	83	93	10
140	27	19	31	44	54	10
141	45	35	9	85	95	10
142	87	43	5	97	107	10
143	48	53	5	31	41	10
144	78	29	7	132	142	10
145	45	56	18	69	79	10
146	31	26	16	32	42	10
147	8	67	1	117	127	10
148	63	96	27	51	61	10
149	59	14	36	165	175	10
150	83	57	30	108	118	10
151	21	88	13	124	134	10
152	65	43	10	88	98	10
153	64	69	9	52	62	10
154	7	61	14	95	105	10
155	41	0	18	140	150	10
156	51	78	2	136	146	10
157	90	69	6	130	140	10
158	33	51	7	101	111	10
159	14	21	18	200	210	10
160	1	14	28	18	28	10
161	69	89	3	162	172	10
162	45	11	13	76	86	10
163	50	17	19	58	68	10
164	15	72	10	34	44	10
165	35	46	9	73	83	10
166	66	59	20	51	61	10
167	88	87	25	127	137	10
168	4	1	25	83	93	10
169	54	45	36	142	152	10
170	29	18	6	50	60	10
171	9	11	5	182	192	10
172	22	24	15	77	87	10
173	26	31	25	35	45	10
174	7	71	9	78	88	10
175	58	15	8	149	159	10
176	45	1	18	69	79	10
177	49	81	13	73	83	10
178	26	69	14	179	189	10
179	71	77	3	96	106	10
180	45	70	23	92	102	10
181	86	47	6	182	192	10
182	76	71	26	94	104	10
183	40	78	16	55	65	10
184	18	69	11	44	54	10
185	58	66	7	101	111	10
186	1	91	41	91	101	10
187	97	99	35	94	104	10
188	59	38	26	93	103	10
189	40	44	9	74	84	10
190	69	89	15	176	186	10
191	63	95	3	95	105	10
192	59	11	1	160	170	10
193	1	42	2	18	28	10
194	57	67	22	188	198	10
195	48	52	27	100	110	10
196	12	23	20	39	49	10
197	27	42	11	135	145	10
198	62	52	12	133	143	10
199	49	69	10	58	68	10
200	48	14	9	83	93	10
201	52	98	17	185	195	10
202	72	64	0	0	230	10
203	19	19	10	161	171	10
204	52	4	7	50	60	10
205	70	99	13	116	126	10
206	26	37	19	149	159	10
207	18	30	26	34	44	10
208	67	7	3	99	109	10
209	74	83	5	81	91	10
210	57	1	9	95	105	10
211	22	0	16	97	107	10
212	11	7	16	124	134	10
213	57	22	12	67	77	10
214	51	39	19	63	73	10
215	51	99	23	159	169	10
216	22	89	20	32	42	10
217	60	2	8	61	71	10
218	100	67	19	75	85	10
219	95	9	2	157	167	10
220	23	2	12	87	97	10
221	14	82	17	76	86	10
222	38	19	9	126	136	10
223	98	45	11	62	72	10
224	67	38	18	97	107	10
225	39	31	29	68	78	10
226	6	99	3	153	163	10
227	76	77	6	172	182	10
228	26	49	17	132	142	10
229	71	36	16	37	47	10
230	100	75	16	39	49	10
231	45	46	9	63	73	10
232	64	28	21	71	81	10
233	43	71	27	50	60	10
234	71	48	23	141	151	10
